Date,Open,High,Low,Close,Volume
05/09/2025,"40.81","41.84","40.80","41.49","152,783"
05/08/2025,"40.96","41.84","40.85","40.97","122,003"
05/07/2025,"40.69","41.18","40.09","40.91","123,838"
05/06/2025,"39.65","40.54","39.38","40.42","306,330"
05/05/2025,"40.08","40.22","39.63","39.81","88,342"
05/02/2025,"39.75","40.39","38.87","40.35","111,471"
05/01/2025,"39.88","40.15","38.10","39.74","165,240"
04/30/2025,"40.17","40.28","39.47","39.96","100,667"
04/29/2025,"39.83","40.45","39.76","40.38","66,241"
04/28/2025,"39.44","40.07","39.21","39.98","140,761"
04/25/2025,"39.08","39.63","38.66","39.58","52,640"
04/24/2025,"39.66","39.79","38.96","39.07","76,202"
04/23/2025,"39.97","40.43","39.46","39.77","115,112"
04/22/2025,"38.73","39.61","38.58","39.59","57,029"
04/21/2025,"39.25","39.56","38.13","38.48","79,625"
04/17/2025,"38.77","39.73","38.77","39.48","122,205"
04/16/2025,"38.91","39.04","38.50","38.80","114,686"
04/15/2025,"38.53","39.05","38.16","38.83","109,909"
04/14/2025,"38.17","38.66","37.86","38.45","88,409"
04/11/2025,"36.97","37.93","36.53","37.78","240,394"
04/10/2025,"36.91","37.95","36.08","36.93","264,164"
04/09/2025,"35.93","38.08","35.60","37.05","265,993"
04/08/2025,"37.53","38.61","35.80","36.26","124,439"
04/07/2025,"35.91","37.76","35.51","36.97","206,604"
04/04/2025,"37.83","38.27","36.77","37.51","125,188"
04/03/2025,"38.54","39.03","37.95","38.61","133,724"
04/02/2025,"38.34","39.62","38.34","39.61","88,201"
04/01/2025,"38.60","39.01","38.37","38.68","72,112"
03/31/2025,"38.48","39.15","38.32","38.75","120,500"
03/28/2025,"38.88","38.94","38.39","38.81","82,281"
03/27/2025,"38.52","38.95","38.44","38.84","61,919"
03/26/2025,"38.16","38.77","38.05","38.59","79,899"
03/25/2025,"38.65","38.81","37.95","38.13","48,353"
03/24/2025,"38.71","38.77","38.16","38.46","88,196"
03/21/2025,"38.10","38.37","37.87","38.30","177,326"
03/20/2025,"38.19","38.62","38.11","38.32","102,891"
03/19/2025,"38.45","38.83","38.00","38.56","128,372"
03/18/2025,"37.86","38.84","37.86","38.42","144,357"
03/17/2025,"37.42","38.06","37.39","37.92","84,036"
03/14/2025,"37.37","38.05","37.16","37.64","98,785"
03/13/2025,"37.61","37.77","37.05","37.15","76,030"
03/12/2025,"37.97","38.08","37.18","37.48","98,503"
03/11/2025,"38.92","39.09","37.72","38.02","130,889"
