Date,Open,High,Low,Close,Volume
05/13/2025,"62.61","62.78","61.97","62.39","17,003,131"
05/12/2025,"62.38","63.47","61.81","62.58","29,776,641"
05/09/2025,"59.14","59.38","58.22","58.30","13,954,390"
05/08/2025,"59.69","60.39","58.80","58.91","19,009,000"
05/07/2025,"57.87","58.81","57.56","58.62","11,901,140"
05/06/2025,"57.15","57.72","56.79","57.04","11,440,330"
05/05/2025,"58.12","58.34","57.29","57.35","15,971,030"
05/02/2025,"57.87","58.70","57.31","58.59","14,723,860"
05/01/2025,"56.68","57.21","56.26","56.76","10,526,990"
04/30/2025,"55.86","56.59","54.75","56.40","17,205,859"
04/29/2025,"57.00","57.74","56.74","57.54","12,967,950"
04/28/2025,"57.73","58.08","56.80","57.31","13,321,240"
04/25/2025,"58.21","58.25","56.61","57.62","17,156,010"
04/24/2025,"57.81","58.70","57.13","58.48","14,508,550"
04/23/2025,"59.00","59.20","56.70","57.39","21,660,320"
04/22/2025,"56.65","58.09","56.24","57.06","16,852,240"
04/21/2025,"55.23","56.36","53.50","56.12","17,280,930"
04/17/2025,"53.82","56.02","53.65","55.76","18,935,080"
04/16/2025,"54.72","55.15","53.34","53.55","19,094,891"
04/15/2025,"54.68","55.39","54.17","54.83","15,977,120"
04/14/2025,"55.64","56.69","54.67","55.41","28,346,561"
04/11/2025,"54.40","55.03","52.86","54.39","22,617,100"
04/10/2025,"57.23","57.25","52.28","54.40","53,919,809"
04/09/2025,"53.28","59.55","52.48","59.32","44,732,551"
04/08/2025,"58.77","58.77","52.37","53.27","30,404,289"
04/07/2025,"55.40","57.18","53.40","55.61","45,374,359"
04/04/2025,"53.22","59.22","52.50","57.25","67,775,711"
04/03/2025,"56.37","58.68","55.40","55.58","71,499,469"
04/02/2025,"64.30","65.40","64.16","64.96","11,161,370"
04/01/2025,"63.83","65.16","63.30","64.76","13,489,490"
03/31/2025,"62.84","63.99","62.65","63.48","17,400,029"
03/28/2025,"65.86","65.86","63.14","63.29","19,600,301"
03/27/2025,"65.50","67.10","65.29","65.80","16,435,820"
03/26/2025,"66.38","66.59","64.95","65.74","18,715,881"
03/25/2025,"67.56","68.05","66.24","66.54","17,394,141"
03/24/2025,"68.56","68.89","66.69","67.39","26,552,539"
03/21/2025,"66.59","68.73","65.17","67.94","77,286,992"
03/20/2025,"72.92","73.65","71.52","71.86","25,202,340"
03/19/2025,"72.64","73.43","72.29","72.99","10,830,530"
03/18/2025,"73.89","74.16","72.72","73.31","8,972,330"
03/17/2025,"72.14","73.95","72.03","73.70","15,996,910"
03/14/2025,"73.28","73.54","71.32","71.66","12,182,970"
03/13/2025,"73.18","73.94","71.67","72.64","10,195,920"
03/12/2025,"74.36","74.50","73.23","73.58","12,304,890"
03/11/2025,"75.91","76.08","73.62","74.17","12,836,970"
03/10/2025,"77.51","80.19","76.06","76.40","15,822,630"
03/07/2025,"77.48","79.00","76.97","78.59","9,294,295"
03/06/2025,"76.74","78.34","76.74","77.71","9,623,722"
03/05/2025,"77.33","78.31","76.46","77.81","9,853,600"
03/04/2025,"77.70","78.65","76.78","77.32","10,034,130"
03/03/2025,"79.99","80.96","77.89","78.41","8,628,754"
02/28/2025,"79.25","80.02","78.18","79.43","14,113,830"
02/27/2025,"81.49","81.49","79.46","80.02","11,651,920"
02/26/2025,"82.10","82.44","80.84","81.17","16,058,140"
