Date,Open,High,Low,Close,Volume
05/12/2025,"97.67","97.97","95.62","96.75","26,783,930"
05/09/2025,"96.75","97.20","96.29","96.72","13,697,820"
05/08/2025,"98.75","99.33","97.36","97.43","14,461,120"
05/07/2025,"98.55","99.23","98.31","98.83","11,310,190"
05/06/2025,"98.74","99.47","98.41","98.55","10,626,000"
05/05/2025,"98.94","99.74","98.53","99.33","12,439,130"
05/02/2025,"97.95","99.22","97.85","98.75","16,031,370"
05/01/2025,"97.02","97.90","96.59","97.41","13,171,780"
04/30/2025,"95.94","97.78","94.93","97.25","21,639,859"
04/29/2025,"94.84","96.18","94.42","96.04","12,679,030"
04/28/2025,"95.10","96.00","94.34","95.22","12,950,000"
04/25/2025,"95.80","96.47","94.36","95.09","15,317,220"
04/24/2025,"94.71","96.22","93.66","95.84","13,444,530"
04/23/2025,"95.02","96.60","94.16","94.96","18,046,891"
04/22/2025,"92.88","95.29","92.88","94.85","15,407,770"
04/21/2025,"93.02","94.08","91.34","92.41","18,361,211"
04/17/2025,"91.83","93.87","91.62","93.22","21,393,920"
04/16/2025,"94.00","94.30","90.61","91.19","22,229,109"
04/15/2025,"94.82","96.03","93.87","93.97","21,871,211"
04/14/2025,"93.27","95.44","92.90","94.73","27,742,920"
04/11/2025,"90.68","93.35","90.01","92.80","25,508,141"
04/10/2025,"88.73","91.87","88.16","90.61","34,735,320"
04/09/2025,"83.33","90.80","83.02","89.60","46,632,762"
04/08/2025,"85.85","86.97","81.03","81.79","34,351,738"
04/07/2025,"80.24","86.26","79.81","83.83","36,884,941"
04/04/2025,"85.64","87.39","82.65","83.19","36,209,020"
04/03/2025,"86.28","89.88","86.28","87.26","33,012,930"
04/02/2025,"88.20","90.15","88.12","89.76","19,384,141"
04/01/2025,"87.54","89.11","87.37","88.83","22,080,250"
03/31/2025,"84.76","88.20","84.37","87.79","30,269,311"
03/28/2025,"85.43","85.83","84.70","85.15","14,790,570"
03/27/2025,"84.78","86.11","84.78","85.63","16,782,811"
03/26/2025,"85.19","85.56","84.57","85.21","27,241,500"
03/25/2025,"86.76","87.31","84.62","84.76","27,908,570"
03/24/2025,"86.47","87.65","86.35","87.49","17,900,730"
03/21/2025,"85.28","86.23","84.78","85.98","26,797,180"
03/20/2025,"85.81","87.08","85.52","85.81","18,185,510"
03/19/2025,"85.95","86.79","85.62","86.33","24,555,859"
03/18/2025,"87.44","87.68","85.50","85.59","17,850,930"
03/17/2025,"85.13","87.99","84.98","87.46","26,297,770"
03/14/2025,"84.96","85.37","84.06","85.35","35,500,648"
03/13/2025,"84.94","85.45","83.87","84.50","31,507,750"
03/12/2025,"87.88","89.10","84.88","85.20","33,301,609"
03/11/2025,"87.29","89.35","87.14","87.44","28,687,590"
